663	Alexander Wrightington
664	Alexander [Markland]
665	Alexander, Archbishop of St. Andrew's
666	Alexandre Lorge
667	Alexandro Bono
671	Alfonse de Vittore
672	Alfonsinus Trottus
673	Alfonso Cacho Y Canuto
675	Alfonso Da Este [Duke of Ferrara]
677	Alfonso Ferrabosca
680	Alfonso Montecucoli
681	Alfonso Truxillo
685	Alice Alington
686	Alice Babington
687	Alice Blackbourne
688	Alice Bowen
689	Alice Browne
692	Alice Knottisforde
693	Alice Kyng
694	Alice Lee
695	Alice Nutshawe
696	Alice Prist
697	Alice Rogers
698	Alice Smalwood
699	Alice Smythe
700	Alice, Countess Dowager of Derby
702	Alise Frances
703	Alister Oge M'Alister Charrie
704	All Admiralty Officers
705	All His Friends
708	All Justices of the Peace
710	All Kings and Princes
712	All Officers in the ports
715	All Subjects
716	All admirals
717	All printers, booksellers, stationers, &amp;c
718	All the Burkes and Clandonnells
719	All true Englishmen
721	Allain Stuard
722	Allan Bellingham
723	Allan Cotton
724	Allan King
725	Allard Bentinck, maitre d'hotel
726	Allart Ploumer
728	Allen Apsley
730	Allen Bawdyson, Servant
731	Allen Frognall
733	Allen Kynge
734	Allen Matthew
735	Allen Sandforth
736	Almazan
737	Almoro Zane
738	Aloisius Cardinal de Rossi
739	Alonso Faubauld
740	Alonso Fingillo
741	Alonso Nunez De Herrera
743	Alonso de Basurto, merchant of Spain
744	Alonso de Corral, abbot of S. Benito, Valladolid
747	Alonso de Vargas Pecellino
749	Alonzo de Hontanilla
752	Aloysius Gonzaga
753	Aloysius Priolus
756	Alphonso Lawyer
759	Aluerd Prior of St. Oswald's
760	Alvara de Quadra, Bishop of Aquila, Spanish Ambassador
761	Alvaro Mendes
762	Alvarus Osorio, Bishop
763	Alvise Foscari
764	Alvise Lullini
765	Alvise Mocenigo
767	Alvise and Francesco Pasqualigo
769	Alys Gay
770	Alyson Hamilton
771	Amarath, Sultan of Turkey
772	Amaurry
777	Ambassador Campiano
779	Ambassador Figuerroa
782	Ambassador Noailles
784	Ambassador at Rome
791	Ambassador of Arragon
795	Ambassador of Poland
796	Ambassador of Portugal
798	Swedish Ambassador (Denis Beurrai?)
800	Ambassador of the Duke of Savoy
801	Ambassador of the Duke of Saxony
803	Ambassador with the Emperor
805	Ambassadors
806	Ambassadors Mocenigo and Cornaro
808	French Ambassador at Rome (1528)
812	Ambassadors in Spain
813	Ambassadors of Francis I
814	Ambassadors of Lubeck
816	Ambassadors of The Protestants
817	Ambassadors of the Five Cantons Assembled in Zurich
819	John Fleming, first earl of Wigtown
824	Ambroise Le Ducq, Isembart De Soissons and Marten Wolffswinckel
825	Ambroise de Mouy
828	Ambrose Coppinger
830	Ambrose Dudley, Earl of Warwick
832	Ambrose Forth
834	Ambrose Needham
835	Ambrose Potter
836	Ambrose Rogers
837	Ambrose Saunders
838	Ambrosius Martini
839	Amen Reynolds
842	Amice Carteret
844	Amreinque Fernandes
845	Amurath III
846	Amyas Cottell
848	An Adherent in Scotland
849	An Agent in England
850	An Essex Gentleman
851	Harman
852	An unidentified Lord
853	An unmarried sister
854	An unnamed lady
856	Anchises Visconti
859	And. and Gio. P. Lavezzari
864	Andre Lopez Pinto
865	Andrea Badoer
867	Andrea Doria
868	Andrea Ghinucci
870	Andrea Gritti, Doge of Venice
871	Andrea Martinengo
873	Andrea Sandel
874	Andrea Servaressa
875	Andrea Vauetico
878	Andrea de Arriquiba
879	Andrea de Burgo
881	Andrea de Loo
883	Andrea van Mettecovery
885	Andreas Chapman
888	Andreas Hoffman
889	Andreas Hoy
890	Andreas Martingho
891	Andreas Scheiner
894	Andres Bueno
895	Andres de Prada
896	Andrew Armstrong
898	Andrew Baudwyn
