#PLACE_ID	PLACE_LABEL
653	Bermondsey
654	Berne
655	Bernelmas
656	Berravyk
657	Berreguardi
658	Berry Castle
659	Bersham
660	Berumb
661	Berwick
662	Berwick Castle
663	Berwick Castle; Broughty Castle
664	Berwick castle
665	Berwick-upon-Tweed
666	Berwick; Aymouth
667	Berwick; Camp at Salt Preston
668	Berwick; Carlisle
669	Berwick; Dalkeith
670	Berwick; Darletoun
671	Berwick; Dunbar
672	Berwick; Edinburgh
673	Berwick; Edinburgh Castle
674	Berwick; Edinburgh Castle; Leith
675	Berwick; Edinburgh; Fife
676	Berwick; Edinburgh; Glasgow
677	Berwick; Falkland
678	Berwick; Falkland; Edinburgh
679	Berwick; Haddington
680	Berwick; Holyrood House
681	Berwick; Kinghorn; St. Andrews
682	Berwick; Kyrkcaldy
683	Berwick; Lastarrick
684	Berwick; Leith
685	Berwick; Leith; Stirling
686	Berwick; Lestarrick
687	Berwick; Lestarwick; Edinburgh
688	Berwick; Linlithgow
689	Berwick; Palace of Lislebourg; The Wymes
690	Berwick; Restalrig
691	Berwick; St. Andrews
692	Berwick; Stirling
693	Berye, co. Devon
694	Besan&#x00E7;on
695	Besancon
696	Besekovia
697	Beselslighe
698	Besides Westminster
699	Betanzos
700	Bethnal Green
701	Bethune
702	Beudeserte
703	Beulay
704	Beures
705	Bevall
706	Bever
707	Beverley
708	Bevilla [Beauvais?]
709	Bevington
710	Bewcastle
711	Bewdley
712	Bewelow
713	Bewlewe
714	Bewley
715	Bewmares
716	Bewmirrels
717	Bewtrove near Durham
718	Beyheworthe
719	Beziers
720	Bezzarryll
721	Bicester
722	Bickton
723	Biddick
724	Biervliet
725	Bievre
726	Bilbao
727	Bilboa
728	Billingbeare
729	Binborow
730	Binche
731	Binches
732	Bindon
733	Binfield
734	Birdsall
735	Birling
736	Birton
737	Bisham
738	Bishop Auckland
739	Bishop Burton
740	Bishop auckland
741	Bishop's Hall
742	Bishop's Waltham
743	Bishops Waltham
744	Bishops-Castle
745	Bishopsgate
746	Bishopsgate Street
747	Bishopthorpe
748	Bissham
749	Bitberg
750	Bitlesden
751	Black Rock
752	Blackfriars
753	Blackmore
754	Blackness
755	Blackwater
756	Blair Atholl
757	Blandford
758	Blandford Forum
759	Blangy
760	Blankney
761	Blarney
762	Blaye
763	Blays (Blois?)
764	Bleais
765	Blease (Blois?)
766	Blese
767	Bletchingley
768	Bletherweke
769	Bletherwick
770	Bletneshoe
771	Bletsoe
772	Blickling
773	Blisworth
774	Blithfield
775	Blois
776	Blokzijl
777	Bloys
778	Blunsdon
779	Blyenbeck
780	Blysworth
781	Blythe
782	Bockland
783	Bockland, my poor house
784	Bocton Malherbe
785	Boddington
786	Bodman
787	Bodmin
788	Bodmin, Cornwall
789	Bodnam
790	Bogeansye
791	Bogot&#x00E1;
792	Boile Caislein
793	Bois de Vincennes
794	Bois le Duc
795	Bois-le-Duc
796	Boisset
797	Boisset en la Limagne d'Auvergne
798	Bokelly
799	Bold
800	Bolder
801	Bolduk
802	Bolduke
803	Bolingbroke
804	Bolleinlach
805	Bollyng
806	Bollyng; Wakefeld
807	Bologna
808	Boltburye
809	Bolton
810	Bolton Castle
811	Bolton Castle; Edinburgh
812	Bolton Percie
813	Bolton in Craven
814	Bolton; Dumfries
815	Bolton; Kingston
816	Bolzanne
817	Bommel
818	Bommellswarde
819	Bonaventure
820	Boncle
821	Bonham
822	Bonjedwart [Bonjedworth]
823	Bonn
824	Bonneneddan
825	Bonneval
826	Bono[ny]
827	Bononia
828	Bonony
829	Bonratty
